major_category	major_preprocessed	major_original	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
	teach	teaching	0.34375	0.625	0.5	0.9375	0.53125	0.5
	investig	Investigating	0.28125	0.8125	0.40625	0.71875	0.25	0.3125
	medic	medical	0.375	0.8125	0.65625	0.53125	0.15625	0.28125
	teach	teaching	0.4375	0.65625	0.75	0.84375	0.34375	0.3125
	teach	teaching	0.46875	0.6875	0.875	0.84375	0.3125	0.34375
	pilot	pilot	0.15625	0.28125	0.34375	0.5	0.28125	0.25
	polit	Politics	0.40625	0.78125	0.59375	0.84375	0.5	0.46875
	survey	Surveying	0.21875	0.5	0.59375	0.53125	0.34375	0.09375
	inform technolog	IT	0.375	0.28125	0.5625	0.625	0.84375	0.875
	pharmacist	pharmacist	0.40625	0.625	0.125	0.59375	0.28125	0.59375
	organiz develop	organizational development	0.34375	0.5	0.625	0.6875	0.46875	0.75
	social pedagog	Social pedagog	0.03125	0.3125	0.53125	0.9375	0.75	0.1875
	translat interpret	Translation and Interpreting	0.0625	0.4375	0.59375	0.8125	0.5	0.09375
	hawaiian	Hawaiian Studies	0.0	0.0	0.28125	0.3125	0.0625	0.03125
	teacher volunt dentist	teacher,volunteer,dentist	0.25	0.5625	0.0625	0.5625	0.0	0.0
	biosystem engien	Biosystems Engienering	0.28125	0.59375	0.1875	0.0625	0.03125	0.3125
	languag	language	0.125	0.1875	0.0	0.25	0.5	0.1875
	undeclar	Undeclared	0.125	0.4375	0.5625	0.5625	0.46875	0.21875
	radiolog	Radiology	0.6875	0.6875	0.75	0.53125	0.21875	0.28125
	fit	fitness	0.09375	0.15625	0.625	0.53125	0.09375	0.1875
	aircraft maintain	aircraft maintainance	0.8125	0.15625	0.3125	0.34375	0.375	0.34375
	teach	teaching	0.0	0.1875	0.15625	0.625	0.03125	0.0
	cyber defens	Cyber Defense	0.0625	0.46875	0.40625	0.46875	0.40625	0.5625
	pharmaci	pharmacy	0.125	0.6875	0.21875	0.65625	0.1875	0.25
	polit	politics	0.25	0.625	0.59375	0.53125	0.34375	0.59375
	biomath	biomath	0.03125	0.46875	0.03125	0.34375	0.0625	0.09375
