major_category	major_preprocessed	major_original	realistic	investigative	artistic	social	enterprising	conventional
agriculture & natural resources	agriculatur	agriculature	0.53125	0.65625	0.5625	0.71875	0.65625	0.46875
agriculture & natural resources	agronomi	agronomy	0.28125	0.6875	0.53125	0.5	0.1875	0.25
agriculture & natural resources	forestri	forestry	0.4375	0.9375	0.65625	0.4375	0.125	0.28125
agriculture & natural resources	comput anim scienc	computer animation, science 	0.5	0.84375	0.5	0.4375	0.0625	0.59375
agriculture & natural resources	anim scienc english	Animal Science/ English	0.21875	0.625	0.90625	0.28125	0.34375	0.25
agriculture & natural resources	anim scienc	Animal science 	0.09375	0.8125	0.375	0.5	0.5	0.09375
agriculture & natural resources	natur resourc	Natural Resources	0.625	0.46875	0.3125	0.59375	0.375	0.3125
agriculture & natural resources	agricultur busi	agricultural business	0.09375	0.375	0.1875	0.59375	0.4375	0.6875
agriculture & natural resources	agricultur	Agriculture	0.125	0.375	0.6875	0.25	0.15625	0.25
agriculture & natural resources	agricultur scienc	Agriculture sciences	0.28125	0.125	0.0	0.03125	0.03125	0.0
agriculture & natural resources	food scienc	Food science	0.21875	0.53125	0.28125	0.59375	0.375	0.1875
agriculture & natural resources	water resourc	Water Resources	0.09375	0.65625	0.59375	0.84375	0.1875	0.15625
agriculture & natural resources	agricultur econom	agriculture economics	0.40625	0.75	0.3125	0.75	0.21875	0.46875
agriculture & natural resources	forestri	Forestry	0.03125	0.21875	0.03125	0.46875	0.3125	0.59375
agriculture & natural resources	agricultur busi	Ag Business	0.625	0.3125	0.15625	0.46875	0.09375	0.09375
