College Major	Realistic	Investigative	Artistic	Social	Enterprising	Conventional
anthropology, linquistics, technical writing	0.46875	0.6875	1.0	0.875	0.625	0.1875
anthropology, sociology, speech therapy	0.1875	0.78125	0.75	0.84375	0.46875	0.1875
anthropology, software engineering, education	0.15625	0.46875	0.65625	0.65625	0.25	0.40625
anthropology, spanish minor	0.46875	0.90625	0.71875	0.875	0.71875	0.625
anthropology/composition	0.1875	0.8125	0.90625	0.59375	0.3125	0.65625
anthropology/history double major	0.15625	0.90625	0.78125	0.34375	0.03125	0.15625
anthropology; international and area studies;	0.296875	0.75	0.859375	0.734375	0.03125	0.0
anthropology; linguistics	0.28125	0.5	0.78125	0.75	0.65625	0.375
anthropology; public health	0.40625	0.46875	0.65625	0.84375	0.15625	0.375
anthrozoology	0.375	0.75	0.6875	0.625	0.3125	0.40625
antrophology	0.21875	0.65625	0.375	0.4375	0.53125	0.53125
antropology	0.0	0.375	0.578125	0.609375	0.65625	0.078125
antropology and ancient indian culture	0.25	0.65625	0.21875	0.28125	0.03125	0.0
antropology, archeology, palentolgy	0.59375	0.375	0.375	0.15625	0.75	0.71875
análises clínicas	0.1875	0.84375	0.5	0.5625	0.25	0.3125
apk	0.03125	0.53125	0.25	0.4375	0.25	0.09375
aplied science	0.78125	0.28125	0.4375	0.8125	0.5	0.28125
apparel design	0.25	0.9375	0.9375	1.0	1.0	0.96875
apparel design and production	0.0625	0.59375	0.8125	0.8125	0.5	0.25
apparel merchandising	0.15625	0.125	0.21875	0.40625	0.25	0.15625
applied behavior analysis	0.265625	0.53125	0.4375	0.5	0.28125	0.453125
applied behavioral science	0.09375	0.234375	0.25	0.65625	0.296875	0.125
applied behavioral sciences	0.4375	0.53125	0.5625	0.625	0.5	0.5
applied biological sciences	0.03125	0.6875	0.28125	0.59375	0.28125	0.0
applied chemistry	0.25	0.875	0.84375	0.9375	0.40625	0.21875
applied communication	0.0	0.46875	0.6875	0.5625	0.34375	0.15625
applied communication studies	0.125	0.65625	0.75	0.5625	0.34375	0.03125
applied computer sciences	0.625	0.65625	0.75	0.875	0.4375	0.53125
applied drama & psychology	0.15625	0.34375	0.90625	0.78125	0.71875	0.3125
applied economics	0.5625	0.75	0.25	0.53125	0.53125	0.8125
applied electronics	0.6875	0.375	0.25	0.84375	0.375	0.65625
applied finance	0.2604166666666667	0.6458333333333334	0.5	0.65625	0.5208333333333334	0.3645833333333333
applied health science	0.0625	0.90625	0.65625	0.875	0.1875	0.03125
applied human behavior	0.25	0.71875	0.75	0.6875	0.1875	0.28125
applied informatics	0.1875	0.375	0.203125	0.3125	0.296875	0.390625
applied languages	0.4375	0.328125	0.359375	0.46875	0.296875	0.265625
applied linguistic	0.21875	0.625	0.6875	0.59375	0.59375	0.28125
applied linguistics	0.1375	0.4375	0.3	0.58125	0.325	0.25625
